tn,ringDice,skillDice,successPercentage,avgSuccess,avgOppurtunities,avgStrife
1,1,0,0.475,0.589,0.400,0.614
1,1,1,0.779,0.971,0.372,0.518
1,1,2,0.911,1.184,0.359,0.546
1,1,3,0.963,1.336,0.370,0.593
1,1,4,0.979,1.363,0.396,0.561
1,1,5,0.996,1.446,0.399,0.610
1,2,0,0.753,1.184,0.793,1.209
1,2,1,0.882,1.486,1.007,1.127
1,2,2,0.951,1.673,1.139,1.005
1,2,3,0.985,1.672,1.259,0.886
1,2,4,0.988,1.726,1.286,0.823
1,2,5,0.996,1.873,1.369,0.780
1,3,0,0.878,1.778,1.211,1.783
1,3,1,0.945,2.121,1.514,1.794
1,3,2,0.979,2.074,1.760,1.520
1,3,3,0.996,2.117,1.981,1.374
1,3,4,0.993,2.187,2.053,1.219
1,3,5,0.997,2.108,2.217,1.068
1,4,0,0.939,2.444,1.564,2.399
1,4,1,0.977,2.737,1.976,2.442
1,4,2,0.990,2.830,2.279,2.172
1,4,3,0.994,2.753,2.605,2.047
1,4,4,0.998,2.748,2.696,1.868
1,4,5,1.000,2.559,2.942,1.548
1,5,0,0.974,3.057,1.980,2.967
1,5,1,0.986,3.410,2.413,3.062
1,5,2,0.996,3.396,2.770,2.877
1,5,3,0.998,3.432,3.112,2.723
1,5,4,0.999,3.336,3.312,2.452
1,5,5,1.000,3.222,3.562,2.214
2,1,0,0.076,0.601,0.400,0.602
2,1,1,0.167,0.991,0.385,0.577
2,1,2,0.211,1.178,0.349,0.567
2,1,3,0.265,1.271,0.377,0.575
2,1,4,0.312,1.355,0.397,0.566
2,1,5,0.365,1.420,0.408,0.589
2,2,0,0.317,1.192,0.812,1.222
2,2,1,0.568,1.682,0.773,1.100
2,2,2,0.781,2.113,0.721,1.230
2,2,3,0.894,2.397,0.681,1.159
2,2,4,0.942,2.517,0.673,1.158
2,2,5,0.975,2.653,0.737,1.208
2,3,0,0.561,1.791,1.207,1.821
2,3,1,0.772,2.248,1.352,1.693
2,3,2,0.873,2.494,1.449,1.612
2,3,3,0.940,2.692,1.539,1.472
2,3,4,0.967,2.779,1.627,1.516
2,3,5,0.981,2.955,1.690,1.428
2,4,0,0.744,2.427,1.622,2.441
2,4,1,0.864,2.802,1.880,2.372
2,4,2,0.926,3.014,2.074,2.182
